#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 16,    -0.14, 3,   boost,   33.94,  99459.00,  156.50,   25.24,   54.41, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.13, 3,   boost,   35.68,  99453.00,  157.01,   25.74,   55.12, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.12, 3,   boost,   37.48,  99444.00,  157.77,   26.50,   55.83, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.11, 3,   boost,   39.33,  99437.00,  158.36,   27.10,   56.55, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.10, 3,   boost,   41.24,  99425.00,  159.37,   28.11,   57.28, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.09, 3,   boost,   43.20,  99413.00,  160.39,   29.12,   58.01, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.08, 3,   boost,   45.20,  99404.00,  161.15,   29.88,   58.75, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.07, 3,   boost,   47.24,  99390.00,  162.33,   31.07,   59.50, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.06, 3,   boost,   49.32,  99381.00,  163.09,   31.83,   60.25, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.05, 3,   boost,   51.42,  99373.00,  163.77,   32.51,   61.01, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.04, 3,   boost,   53.54,  99367.00,  164.28,   33.01,   61.78, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.03, 3,   boost,   55.67,  99361.00,  164.79,   33.52,   62.55, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.02, 3,   boost,   57.80,  99354.00,  165.38,   34.11,   63.32, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,    -0.01, 3,   boost,   59.93,  99338.00,  166.73,   35.47,   64.10, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.00, 3,   boost,   62.03,  99333.00,  167.15,   35.89,   64.89, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.01, 3,   boost,   64.10,  99320.00,  168.25,   36.99,   65.68, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.02, 3,   boost,   66.13,  99311.00,  169.02,   37.75,   66.48, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.03, 3,   boost,   68.11,  99291.00,  170.71,   39.44,   67.29, 23.8, 0.00, 0.00, 4.02
6, 9920, 16,     0.04, 3,   boost,   70.02,  99279.00,  171.72,   40.46,   68.10, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.05, 3,   boost,   71.86,  99269.00,  172.57,   41.30,   68.91, 23.8, 0.00, 0.00, 4.02
6, 9920, 16,     0.06, 3,   boost,   73.62,  99264.00,  172.99,   41.73,   69.73, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.07, 3,   boost,   75.29,  99246.00,  174.52,   43.25,   70.55, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.08, 3,   boost,   76.85,  99231.00,  175.79,   44.52,   71.38, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.09, 3,   boost,   78.30,  99220.00,  176.72,   45.45,   72.22, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.10, 3,   boost,   79.64,  99207.00,  177.82,   46.55,   73.05, 23.8, 0.00, 0.00, 4.00
6, 9920, 16,     0.11, 3,   boost,   80.86,  99196.00,  178.75,   47.48,   73.89, 23.8, 0.00, 0.00, 4.02
6, 9920, 16,     0.12, 3,   boost,   81.96,  99196.00,  178.75,   47.48,   74.74, 23.8, 0.00, 0.00, 4.02
6, 9920, 16,     0.13, 3,   boost,   82.94,  99181.00,  180.02,   48.76,   75.59, 23.8, 0.00, 0.00, 4.02
6, 9920, 16,     0.14, 3,   boost,   83.80,  99160.00,  181.80,   50.53,   76.44, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.15, 3,   boost,   84.54,  99133.00,  184.09,   52.82,   77.30, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.16, 3,   boost,   85.16,  99122.00,  185.02,   53.75,   78.16, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.17, 3,   boost,   85.67,  99110.00,  186.04,   54.77,   79.03, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.18, 3,   boost,   86.07,  99097.00,  187.14,   55.87,   79.90, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.19, 3,   boost,   86.38,  99088.00,  187.90,   56.63,   80.77, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     0.20, 3,   boost,   86.60,  99077.00,  188.83,   57.57,   81.64, 23.7, 0.00, 0.00, 4.00
